index,threshold,defect_percent,defect_count,avg_defect_size_px,max_defect_size_px,grade,overlay_path,report_path
58,0.2828,1.45263671875,115,8.278260869565218,838.0,B,outputs\batch_overlays\idx_0058_overlay.png,outputs\batch_reports\idx_0058_report.json
59,0.2828,1.44195556640625,117,8.076923076923077,829.0,B,outputs\batch_overlays\idx_0059_overlay.png,outputs\batch_reports\idx_0059_report.json
60,0.2828,1.4495849609375,117,8.11965811965812,834.0,B,outputs\batch_overlays\idx_0060_overlay.png,outputs\batch_reports\idx_0060_report.json
61,0.2828,1.45263671875,116,8.206896551724139,837.0,B,outputs\batch_overlays\idx_0061_overlay.png,outputs\batch_reports\idx_0061_report.json
62,0.2828,1.45416259765625,116,8.21551724137931,838.0,B,outputs\batch_overlays\idx_0062_overlay.png,outputs\batch_reports\idx_0062_report.json
63,0.2828,1.45416259765625,115,8.28695652173913,839.0,B,outputs\batch_overlays\idx_0063_overlay.png,outputs\batch_reports\idx_0063_report.json
64,0.2828,1.44805908203125,117,8.11111111111111,833.0,B,outputs\batch_overlays\idx_0064_overlay.png,outputs\batch_reports\idx_0064_report.json
65,0.2828,1.4495849609375,116,8.189655172413794,835.0,B,outputs\batch_overlays\idx_0065_overlay.png,outputs\batch_reports\idx_0065_report.json
66,0.2828,1.45111083984375,116,8.198275862068966,836.0,B,outputs\batch_overlays\idx_0066_overlay.png,outputs\batch_reports\idx_0066_report.json
67,0.2828,1.45111083984375,116,8.198275862068966,836.0,B,outputs\batch_overlays\idx_0067_overlay.png,outputs\batch_reports\idx_0067_report.json
68,0.2828,1.45111083984375,115,8.269565217391305,837.0,B,outputs\batch_overlays\idx_0068_overlay.png,outputs\batch_reports\idx_0068_report.json
69,0.2828,1.4495849609375,116,8.189655172413794,835.0,B,outputs\batch_overlays\idx_0069_overlay.png,outputs\batch_reports\idx_0069_report.json
70,0.2828,1.4434814453125,117,8.085470085470085,830.0,B,outputs\batch_overlays\idx_0070_overlay.png,outputs\batch_reports\idx_0070_report.json
71,0.2828,1.45111083984375,117,8.128205128205128,835.0,B,outputs\batch_overlays\idx_0071_overlay.png,outputs\batch_reports\idx_0071_report.json
72,0.2828,1.45111083984375,116,8.198275862068966,836.0,B,outputs\batch_overlays\idx_0072_overlay.png,outputs\batch_reports\idx_0072_report.json
73,0.2828,1.44805908203125,116,8.181034482758621,834.0,B,outputs\batch_overlays\idx_0073_overlay.png,outputs\batch_reports\idx_0073_report.json
74,0.2828,1.45263671875,115,8.278260869565218,838.0,B,outputs\batch_overlays\idx_0074_overlay.png,outputs\batch_reports\idx_0074_report.json
75,0.2828,1.45111083984375,115,8.269565217391305,837.0,B,outputs\batch_overlays\idx_0075_overlay.png,outputs\batch_reports\idx_0075_report.json
76,0.2828,1.45416259765625,116,8.21551724137931,838.0,B,outputs\batch_overlays\idx_0076_overlay.png,outputs\batch_reports\idx_0076_report.json
77,0.2828,1.45263671875,115,8.278260869565218,838.0,B,outputs\batch_overlays\idx_0077_overlay.png,outputs\batch_reports\idx_0077_report.json
78,0.2828,1.45721435546875,115,8.304347826086957,841.0,B,outputs\batch_overlays\idx_0078_overlay.png,outputs\batch_reports\idx_0078_report.json
79,0.2828,1.45416259765625,115,8.28695652173913,839.0,B,outputs\batch_overlays\idx_0079_overlay.png,outputs\batch_reports\idx_0079_report.json
80,0.2828,1.45263671875,115,8.278260869565218,838.0,B,outputs\batch_overlays\idx_0080_overlay.png,outputs\batch_reports\idx_0080_report.json
81,0.2828,1.45263671875,116,8.206896551724139,837.0,B,outputs\batch_overlays\idx_0081_overlay.png,outputs\batch_reports\idx_0081_report.json
82,0.2828,1.45416259765625,115,8.28695652173913,839.0,B,outputs\batch_overlays\idx_0082_overlay.png,outputs\batch_reports\idx_0082_report.json
83,0.2828,1.45416259765625,115,8.28695652173913,839.0,B,outputs\batch_overlays\idx_0083_overlay.png,outputs\batch_reports\idx_0083_report.json
